FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;19;;;
200102;0000;14;;;
200103;0000;70;;;
200104;0000;39;;;
200105;0000;7;;;
200106;0000;4;;;
200107;0000;4;;;
200108;0000;3;;;
200109;0000;3;;;
200110;0000;3;;;
200111;0000;9;;;
200112;0000;8;;;
200113;0000;5;;;
200114;0000;3;;;
200115;0000;6;;;
200116;0000;9;;;
200117;0000;23;;;
200118;0000;21;;;
200119;0000;19;;;
200120;0000;15;;;
200121;0000;11;;;
200122;0000;11;;;
200123;0000;8;;;
200124;0000;7;;;
200125;0000;37;;;
200126;0000;33;;;
200127;0000;16;;;
200128;0000;16;;;
200129;0000;9;;;
200130;0000;14;;;
200131;0000;8;;;
200201;0000;10;;;
200202;0000;5;;;
200203;0000;5;;;
200204;0000;3;;;
200205;0000;4;;;
200206;0000;5;;;
200207;0000;6;;;
200208;0000;11;;;
200209;0000;10;;;
200210;0000;12;;;
200211;0000;24;;;
200212;0000;4;;;
200213;0000;12;;;
200214;0000;18;;;
200215;0000;11;;;
200216;0000;4;;;
200217;0000;3;;;
200218;0000;4;;;
200219;0000;5;;;
200220;0000;16;;;
200221;0000;12;;;
200222;0000;11;;;
200223;0000;14;;;
200224;0000;6;;;
200225;0000;11;;;
200226;0000;8;;;
200227;0000;10;;;
200228;0000;10;;;
200229;0000;12;;;
200301;0000;7;;;
200302;0000;12;;;
200303;0000;11;;;
200304;0000;12;;;
200305;0000;19;;;
200306;0000;14;;;
200307;0000;11;;;
200308;0000;7;;;
200309;0000;9;;;
200310;0000;7;;;
200311;0000;5;;;
200312;0000;6;;;
200313;0000;4;;;
200314;0000;6;;;
200315;0000;5;;;
200316;0000;6;;;
200317;0000;5;;;
200318;0000;6;;;
200319;0000;6;;;
200320;0000;9;;;
200321;0000;6;;;
200322;0000;3;;;
200323;0000;2;;;
200324;0000;5;;;
200325;0000;8;;;
200326;0000;12;;;
200327;0000;10;;;
200328;0000;9;;;
200329;0000;6;;;
200330;0000;8;;;
200331;0000;14;;;
200401;0000;7;;;
200402;0000;8;;;
200403;0000;9;;;
200404;0000;10;;;
200405;0000;7;;;
200406;0000;12;;;
200407;0000;21;;;
200408;0000;21;;;
200409;0000;19;;;
200410;0000;15;;;
200411;0000;9;;;
200412;0000;16;;;
200413;0000;22;;;
200414;0000;20;;;
200415;0000;16;;;
200416;0000;8;;;
200417;0000;11;;;
200418;0000;7;;;
200419;0000;14;;;
200420;0000;8;;;
200421;0000;18;;;
200422;0000;18;;;
200423;0000;13;;;
200424;0000;7;;;
200425;0000;17;;;
200426;0000;11;;;
200427;0000;16;;;
200428;0000;28;;;
200429;0000;20;;;
200430;0000;52;;;
200501;0000;45;;;
200502;0000;26;;;
200503;0000;37;;;
200504;0000;34;;;
200505;0000;16;;;
200506;0000;23;;;
200507;0000;42;;;
200508;0000;30;;;
200509;0000;9;;;
200510;0000;28;;;
200511;0000;23;;;
200512;0000;21;;;
200513;0000;39;;;
200514;0000;18;;;
200515;0000;12;;;
200516;0000;21;;;
200517;0000;17;;;
200518;0000;11;;;
200519;0000;18;;;
200520;0000;48;;;
200521;0000;33;;;
200522;0000;31;;;
200523;0000;48;;;
200524;0000;54;;;
200525;0000;33;;;
200526;0000;30;;;
200527;0000;39;;;
200528;0000;42;;;
200529;0000;34;;;
200530;0000;22;;;
200531;0000;44;;;
200601;0000;42;;;
200602;0000;53;;;
200603;0000;35;;;
200604;0000;42;;;
200605;0000;29;;;
200606;0000;39;;;
200607;0000;44;;;
200608;0000;36;;;
200609;0000;23;;;
200610;0000;11;;;
200611;0000;9;;;
200612;0000;43;;;
200613;0000;30;;;
200614;0000;48;;;
200615;0000;21;;;
200616;0000;16;;;
200617;0000;18;;;
200618;0000;8;;;
200619;0000;14;;;
200620;0000;18;;;
200621;0000;33;;;
200622;0000;26;;;
200623;0000;37;;;
200624;0000;41;;;
200625;0000;32;;;
200626;0000;30;;;
200627;0000;23;;;
200628;0000;12;;;
200629;0000;18;;;
200630;0000;18;;;
200701;0000;37;;;
200702;0000;37;;;
200703;0000;22;;;
200704;0000;34;;;
200705;0000;29;;;
200706;0000;37;;;
200707;0000;21;;;
200708;0000;32;;;
200709;0000;14;;;
200710;0000;14;;;
200711;0000;24;;;
200712;0000;18;;;
200713;0000;22;;;
200714;0000;24;;;
200715;0000;31;;;
200716;0000;17;;;
200717;0000;7;;;
200718;0000;9;;;
200719;0000;10;;;
200720;0000;15;;;
200721;0000;8;;;
200722;0000;25;;;
200723;0000;29;;;
200724;0000;45;;;
200725;0000;34;;;
200726;0000;15;;;
200727;0000;30;;;
200728;0000;18;;;
200729;0000;53;;;
200730;0000;51;;;
200731;0000;27;;;
200801;0000;39;;;
200802;0000;16;;;
200803;0000;12;;;
200804;0000;12;;;
200805;0000;28;;;
200806;0000;25;;;
200807;0000;46;;;
200808;0000;50;;;
200809;0000;25;;;
200810;0000;28;;;
200811;0000;25;;;
200812;0000;20;;;
200813;0000;22;;;
200814;0000;16;;;
200815;0000;33;;;
200816;0000;29;;;
200817;0000;22;;;
200818;0000;32;;;
200819;0000;19;;;
200820;0000;18;;;
200821;0000;29;;;
200822;0000;23;;;
200823;0000;19;;;
200824;0000;14;;;
200825;0000;9;;;
200826;0000;11;;;
200827;0000;19;;;
200828;0000;18;;;
200829;0000;18;;;
200830;0000;39;;;
200831;0000;76;;;
200901;0000;85;;;
200902;0000;30;;;
200903;0000;35;;;
200904;0000;22;;;
200905;0000;37;;;
200906;0000;25;;;
200907;0000;21;;;
200908;0000;23;;;
200909;0000;16;;;
200910;0000;17;;;
200911;0000;14;;;
200912;0000;12;;;
200913;0000;11;;;
200914;0000;11;;;
200915;0000;23;;;
200916;0000;13;;;
200917;0000;17;;;
200918;0000;10;;;
200919;0000;5;;;
200920;0000;8;;;
200921;0000;17;;;
200922;0000;14;;;
200923;0000;12;;;
200924;0000;17;;;
200925;0000;16;;;
200926;0000;34;;;
200927;0000;15;;;
200928;0000;13;;;
200929;0000;6;;;
200930;0000;8;;;
201001;0000;9;;;
201002;0000;8;;;
201003;0000;10;;;
201004;0000;18;;;
201005;0000;14;;;
201006;0000;11;;;
201007;0000;11;;;
201008;0000;11;;;
201009;0000;10;;;
201010;0000;8;;;
201011;0000;14;;;
201012;0000;13;;;
201013;0000;12;;;
201014;0000;9;;;
201015;0000;18;;;
201016;0000;11;;;
201017;0000;10;;;
201018;0000;8;;;
201019;0000;8;;;
201020;0000;11;;;
201021;0000;11;;;
201022;0000;12;;;
201023;0000;9;;;
201024;0000;11;;;
201025;0000;3;;;
201026;0000;5;;;
201027;0000;4;;;
201028;0000;6;;;
201029;0000;7;;;
201030;0000;12;;;
201031;0000;17;;;
201101;0000;6;;;
201102;0000;10;;;
201103;0000;14;;;
201104;0000;6;;;
201105;0000;8;;;
201106;0000;9;;;
201107;0000;13;;;
201108;0000;11;;;
201109;0000;10;;;
201110;0000;12;;;
201111;0000;8;;;
201112;0000;6;;;
201113;0000;4;;;
201114;0000;6;;;
201115;0000;7;;;
201116;0000;9;;;
201117;0000;9;;;
201118;0000;5;;;
201119;0000;6;;;
201120;0000;2;;;
201121;0000;2;;;
201122;0000;2;;;
201123;0000;2;;;
201124;0000;4;;;
201125;0000;4;;;
201126;0000;7;;;
201127;0000;;;6;
201128;0000;;;0;
201129;0000;;;0;
201130;0000;;;3;
201201;0000;8;;;
201202;0000;4;;;
201203;0000;7;;;
201204;0000;8;;;
201205;0000;15;;;
201206;0000;11;;;
201207;0000;6;;;
201208;0000;6;;;
201209;0000;8;;;
201210;0000;5;;;
201211;0000;6;;;
201212;0000;5;;;
201213;0000;5;;;
201214;0000;4;;;
201215;0000;6;;;
201216;0000;6;;;
201217;0000;11;;;
201218;0000;6;;;
201219;0000;3;;;
201220;0000;3;;;
201221;0000;5;;;
201222;0000;6;;;
201223;0000;4;;;
201224;0000;5;;;
201225;0000;4;;;
201226;0000;4;;;
201227;0000;6;;;
201228;0000;5;;;
201229;0000;3;;;
201230;0000;6;;;
201231;0000;7;;;
210101;0000;10;;;
210102;0000;10;;;
210103;0000;6;;;
210104;0000;10;;;
210105;0000;12;;;
210106;0000;12;;;
210107;0000;7;;;
210108;0000;9;;;
210109;0000;4;;;
210110;0000;3;;;
210111;0000;3;;;
210112;0000;4;;;
210113;0000;11;;;
210114;0000;20;;;
210115;0000;10;;;
210116;0000;14;;;
210117;0000;14;;;
210118;0000;8;;;
210119;0000;11;;;
210120;0000;15;;;
210121;0000;11;;;
210122;0000;11;;;
210123;0000;14;;;
210124;0000;12;;;
210125;0000;6;;;
210126;0000;7;;;
210127;0000;7;;;
210128;0000;5;;;
210129;0000;3;;;
210130;0000;6;;;
210131;0000;8;;;
210201;0000;6;;;
210202;0000;9;;;
210203;0000;14;;;
210204;0000;12;;;
210205;0000;5;;;
210206;0000;8;;;
210207;0000;9;;;
210208;0000;11;;;
210209;0000;12;;;
210210;0000;10;;;
210211;0000;11;;;
210212;0000;11;;;
210213;0000;10;;;
210214;0000;7;;;
210215;0000;13;;;
210216;0000;9;;;
210217;0000;7;;;
210218;0000;5;;;
210219;0000;4;;;
210220;0000;6;;;
210221;0000;7;;;
210222;0000;4;;;
210223;0000;6;;;
210224;0000;13;;;
210225;0000;12;;;
210226;0000;10;;;
210227;0000;8;;;
210228;0000;6;;;
210301;0000;9;;;
210302;0000;9;;;
210303;0000;11;;;
210304;0000;11;;;
210305;0000;7;;;
210306;0000;10;;;
210307;0000;3;;;
210308;0000;7;;;
210309;0000;9;;;
210310;0000;5;;;
