FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;7;;;
200102;0000;5;;;
200103;0000;6;;;
200104;0000;3;;;
200105;0000;4;;;
200106;0000;6;;;
200107;0000;4;;;
200108;0000;5;;;
200109;0000;9;;;
200110;0000;8;;;
200111;0000;5;;;
200112;0000;4;;;
200113;0000;5;;;
200114;0000;5;;;
200115;0000;6;;;
200116;0000;5;;;
200117;0000;4;;;
200118;0000;5;;;
200119;0000;7;;;
200120;0000;5;;;
200121;0000;3;;;
200122;0000;4;;;
200123;0000;5;;;
200124;0000;4;;;
200125;0000;4;;;
200126;0000;4;;;
200127;0000;5;;;
200128;0000;5;;;
200129;0000;6;;;
200130;0000;6;;;
200131;0000;2;;;
200201;0000;6;;;
200202;0000;8;;;
200203;0000;8;;;
200204;0000;6;;;
200205;0000;6;;;
200206;0000;5;;;
200207;0000;6;;;
200208;0000;5;;;
200209;0000;4;;;
200210;0000;5;;;
200211;0000;5;;;
200212;0000;3;;;
200213;0000;6;;;
200214;0000;7;;;
200215;0000;5;;;
200216;0000;5;;;
200217;0000;5;;;
200218;0000;9;;;
200219;0000;5;;;
200220;0000;5;;;
200221;0000;10;;;
200222;0000;9;;;
200223;0000;6;;;
200224;0000;9;;;
200225;0000;6;;;
200226;0000;6;;;
200227;0000;5;;;
200228;0000;5;;;
200229;0000;5;;;
200301;0000;5;;;
200302;0000;7;;;
200303;0000;12;;;
200304;0000;6;;;
200305;0000;5;;;
200306;0000;8;;;
200307;0000;11;;;
200308;0000;10;;;
200309;0000;8;;;
200310;0000;8;;;
200311;0000;4;;;
200312;0000;6;;;
200313;0000;11;;;
200314;0000;13;;;
200315;0000;4;;;
200316;0000;8;;;
200317;0000;9;;;
200318;0000;8;;;
200319;0000;7;;;
200320;0000;9;;;
200321;0000;5;;;
200322;0000;8;;;
200323;0000;14;;;
200324;0000;9;;;
200325;0000;6;;;
200326;0000;13;;;
200327;0000;8;;;
200328;0000;16;;;
200329;0000;14;;;
200330;0000;8;;;
200331;0000;16;;;
200401;0000;22;;;
200402;0000;10;;;
200403;0000;16;;;
